Compound ID,nH,charge,dG0_f,,,,,,,,,,,,,,,,,
C00001,2,0,-238.72,,,,,,,equilibrator,,ÆGfû,ÆGfû',,,,,,,
C00002,11,-5,-2699.96,,,,,,-5,Component Contribution (2013),,-2700,-2269.2,430.8,502.6,545,573.5,592.3,606.7,611.8
C00002,12,-4,-2771.84,,,,,aqueous,-4,,12,-2771.8,-2295.1,404.9,476.7,519.1,547.6,566.4,580.8,585.9
C00002,13,-3,-2814.17,,,,,aqueous,-3,,13,-2814.2,-2292.6,407.4,479.2,521.6,550.1,568.9,583.3,588.4
C00002,14,-2,-2842.69,,,,,aqueous,-2,,14,-2842.7,-2277.5,422.5,494.3,536.7,565.2,584,598.4,603.5
C00002,15,-1,-2861.46,,,,,aqueous,-1,,15,-2861.5,-2253.9,446.1,517.9,560.3,588.8,607.6,622,627.1
C00002,16,0,-2875.9,,,,,aqueous,0,,16,-2875.9,-2227.1,472.9,544.7,587.1,615.6,634.4,648.8,653.9
C00002,17,1,-2881.03,,,,,aqueous,1,,17,-2881,-2192.3,507.7,579.5,621.9,650.4,669.2,683.6,688.7
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-2295.8, ± 3.0 [kJ/mol],-404.2,"_transform(pH, I, T)",,26.6,,
,,,,,,,,,,,,,,,-476,,,0.7,,
,,,,,,,,,,,,,,,-518.4,,,3.2,,
,,,,,,,,,,,,,,,-546.9,,,18.3,,
,,,,,,,,,,,,,,,-565.7,,,41.9,,
,,,,,,,,,,_dG0_prime_vector,_transform,_ddG,transform,,-580.1,,,68.7,,
,,,,,,,,,_transform,1,,,,,-585.2,,,103.5,,
,,,,,,,,,transform,,1,1,,,,,,,,
,,,,,,,,,transform_pH7,,,,1,uses majorMSpH7,,,,,,
,,,,,,,,,transform_neutral,,,,1,uses species with z = 0,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,charge,ÆGfû equilibrator,"ÆGfû 
cc",difference,,,,,,
,,,,,,,,,,,-5,-2700,-2700.0,0.0,-404.2,,403.9117136,-2296.0,,
,,,,,,,,,,,-4,-2771.8,-2771.8,0.0,-476.0,,475.7578671,-2296.1,,
,,,,,,,,,,,-3,-2814.2,-2814.2,0.0,-518.4,,518.0672686,-2296.1,,
,,,,,,,,,,,-2,-2842.7,-2833.1,9.6,-537.3,,536.9411391,-2296.1,,
,,,,,,,,,,,-1,-2861.5,-2847.7,13.8,-551.9,,551.5384528,-2296.1,,
,,,,,,,,,,,0,-2875.9,-2856.4,19.5,-560.6,,560.3196493,-2296.1,,
,,,,,-2700,-2260.7,,,,,1,-2881,-2861.0,20.1,-565.2,,564.8242891,-2296.1,,
,,,,,-2700,-2274.2,,,,,,,,,,,,,,
