reaction formula,dG0_prime,dGm_prime,deltaGpH72,mMdeltaGpH72
23cump_p + h2o_p --> 3ump_p + h_p,-35.5222763126,-35.5222763126,-6.9,-6.9
23ccmp_p + h2o_p --> 3cmp_p + h_p,-35.1076358632,-35.1076358632,-6.9,-6.9
23camp_p + h2o_p --> 3amp_p + h_p,-35.1124107694,-35.1124107694,-6.9,-6.9
23cgmp_p + h2o_p --> 3gmp_p + h_p,-35.095454686,-35.095454686,-6.9,-6.9
2dhglcn_c + h_c + nadh_c --> glcn_c + nad_c,-17.1126606465,-17.1126606465,-6.4,-6.4
2dhglcn_c + h_c + nadph_c --> glcn_c + nadp_c,-18.0894260163,-18.0894260163,-6.7,-6.7
2mahmp_c + h2o_c --> 4ampm_c + h_c + pi_c,-23.433978235,-40.5488157697,-6.5,-10.6
3hcinnm_c + h_c + nadh_c + o2_c --> dhcinnm_c + h2o_c + nad_c,-440.193277048,-415.892276873,-96,-90.2
3hpppn_c + h_c + nadh_c + o2_c --> dhpppn_c + h2o_c + nad_c,-440.200365842,-415.899365667,-96,-90.2
3dhguln_c + atp_c --> 3dhgulnp_c + adp_c + h_c,-15.6228661494,-15.6228661494,-3.8,-3.8
3ump_p + h2o_p --> pi_p + uri_p,-12.948524176,-30.0633617108,-2.8,-6.9
3cmp_p + h2o_p --> cytd_p + pi_p,-21.0309852316,-38.1458227663,-2.8,-6.9
3amp_p + h2o_p --> adn_p + pi_p,-15.2950312079,-32.4098687426,-2.8,-6.9
3gmp_p + h2o_p --> gsn_p + pi_p,-11.5912101476,-28.7060476823,-2.8,-6.9
h2o_c + phthr_c --> 4hthr_c + pi_c,-13.8574761354,-30.9723136702,-2.8,-6.9
5dglcn_c + h_c + nadph_c <=> glcn_c + nadp_c,-25.1951311358,-25.1951311358,-4.2,-4.2
ru5p__D_c <=> ara5p_c,-2.62340301415,-2.62340301415,1.4,1.4
4abut_c + akg_c --> glu__L_c + sucsal_c,6.09339025493,6.09339025493,-1.1,-1.1
4abutn_c + h2o_c + nad_c --> 4abut_c + 2.0 h_c + nadh_c,-49.9110189071,-49.9110189071,-9.4,-9.4
acac_c + accoa_c --> aacoa_c + ac_c,5.72599549805,5.72599549805,-1.5,-1.5
2.0 accoa_c <=> aacoa_c + coa_c,26.1274139601,26.1274139601,7.1,7.1
acald_c + coa_c + nad_c <=> accoa_c + h_c + nadh_c,-18.1357450564,-1.02090752169,-4.4,-0.3
accoa_c + anth_c --> acanth_c + coa_c,-18.154234871,-18.154234871,-4.3,-4.3
accoa_c + atp_c + hco3_c --> adp_c + h_c + malcoa_c + pi_c,-4.53367066412,-4.53367066412,-0.9,-0.9
atp_c + coa_c + ppa_c --> adp_c + pi_c + ppcoa_c,14.5883602156,14.5883602156,-1,-1
acgal1p_p + h2o_p --> acgal_p + pi_p,-21.5489878974,-38.6638254321,-2.8,-6.9
acgam1p_p + h2o_p --> acgam_p + pi_p,-19.4555716408,-36.5704091755,-2.8,-6.9
acgam_c + atp_c --> acgam6p_c + adp_c + h_c,-12.3851424466,-12.3851424466,-3.8,-3.8
uacgam_c + udcpp_c --> ump_c + unaga_c,4.41532403248,4.41532403248,0,0
acgam_p + pep_c --> acgam6p_c + pyr_c,-39.0505990648,-39.0505990648,-9.1,-9.1
acglu_c + atp_c --> acg5p_c + adp_c,30.4131757947,30.4131757947,2.7,2.7
accoa_c + glu__L_c --> acglu_c + coa_c + h_c,-28.8259625348,-28.8259625348,-5.2,-5.2
2obut_c + h_c + pyr_c --> 2ahbut_c + co2_c,-20.7560850939,-20.7560850939,-10.7,-10.7
ac_c + atp_c <=> actp_c + adp_c,13.5658726067,13.5658726067,4.3,4.3
h_c + 2.0 pyr_c --> alac__S_c + co2_c,-31.1124559362,-31.1124559362,-10.7,-10.7
acmum6p_c + h2o_c --> acgam6p_c + lac__D_c,-5.92054075096,-23.0353782857,-3.3,-7.4
acmana_p + pep_c --> acmanap_c + pyr_c,-40.5985260782,-40.5985260782,-9.1,-9.1
acmum_p + pep_c --> acmum6p_c + pyr_c,-42.2390060492,-42.2390060492,-9.1,-9.1
acnam_c --> acmana_c + pyr_c,7.86199450215,-9.25284303258,1,-3.1
btcoa_c + fad_c <=> b2coa_c + fadh2_c,41.0995812733,41.0995812733,12.7,12.7
fad_c + hxcoa_c <=> fadh2_c + hx2coa_c,46.2960062,46.2960062,12.7,12.7
fad_c + occoa_c <=> fadh2_c + oc2coa_c,47.4214904897,47.4214904897,12.7,12.7
dcacoa_c + fad_c <=> dc2coa_c + fadh2_c,47.4214904897,47.4214904897,12.7,12.7
ddcacoa_c + fad_c <=> dd2coa_c + fadh2_c,47.4214904897,47.4214904897,12.7,12.7
fad_c + tdcoa_c <=> fadh2_c + td2coa_c,47.4214904897,47.4214904897,12.7,12.7
fad_c + pmtcoa_c <=> fadh2_c + hdd2coa_c,49.5661536621,49.5661536621,12.7,12.7
fad_c + stcoa_c <=> fadh2_c + od2coa_c,47.4214904897,47.4214904897,12.7,12.7
acorn_c + h2o_c --> ac_c + orn_c,0.695005891995,-16.4198316427,-1.9,-6
acon_T_c <=> acon_C_c,3.68417592367,3.68417592367,0,0
cit_c <=> acon_C_c + h2o_c,8.31847347149,8.31847347149,1.5,1.5
acon_C_c + h2o_c <=> icit_c,-0.685094822505,-0.685094822505,-0.2,-0.2
acorn_c + akg_c <=> acg5sa_c + glu__L_c,-11.6704660579,-11.6704660579,-1.1,-1.1
ac_c + atp_c + coa_c --> accoa_c + amp_c + ppi_c,-5.12452599319,-5.12452599319,-0.9,-0.9
4adcho_c --> 4abz_c + h_c + pyr_c,-62.4991259221,-79.6139634568,-35.4,-39.5
chor_c + gln__L_c --> 4adcho_c + glu__L_c,-16.2731696597,-16.2731696597,-7.5,-7.5
amp_c + atp_c <=> 2.0 adp_c,-2.13852223538,-2.13852223538,-0.1,-0.1
