reaction formula,dG0_prime,dGm_prime,deltaGpH72,mMdeltaGpH72
23cump_p + h2o_p --> 3ump_p + h_p,-31.512583635,-31.512583635,-6.9,-6.9
23ccmp_p + h2o_p --> 3cmp_p + h_p,-31.7278015797,-31.7278015797,-6.9,-6.9
23camp_p + h2o_p --> 3amp_p + h_p,-31.6700696321,-31.6700696321,-6.9,-6.9
23cgmp_p + h2o_p --> 3gmp_p + h_p,-31.7499818744,-31.7499818744,-6.9,-6.9
2dhglcn_c + h_c + nadh_c --> glcn_c + nad_c,-20.6984382971,-20.6984382971,-6.4,-6.4
2dhglcn_c + h_c + nadph_c --> glcn_c + nadp_c,-24.1184976281,-24.1184976281,-6.7,-6.7
2mahmp_c + h2o_c --> 4ampm_c + h_c + pi_c,-21.6391984099,-38.7540359447,-6.5,-10.6
3hcinnm_c + h_c + nadh_c + o2_c --> dhcinnm_c + h2o_c + nad_c,-443.763740962,-419.462740786,-96,-90.2
3hpppn_c + h_c + nadh_c + o2_c --> dhpppn_c + h2o_c + nad_c,-443.764590758,-419.463590583,-96,-90.2
3dhguln_c + atp_c --> 3dhgulnp_c + adp_c + h_c,-13.6642824758,-13.6642824758,-3.8,-3.8
3ump_p + h2o_p --> pi_p + uri_p,-15.0990594632,-32.2138969979,-2.8,-6.9
3cmp_p + h2o_p --> cytd_p + pi_p,-21.8938089863,-39.008646521,-2.8,-6.9
3amp_p + h2o_p --> adn_p + pi_p,-16.2500307683,-33.364868303,-2.8,-6.9
3gmp_p + h2o_p --> gsn_p + pi_p,-12.3806983598,-29.4955358945,-2.8,-6.9
h2o_c + phthr_c --> 4hthr_c + pi_c,-14.3639120819,-31.4787496167,-2.8,-6.9
5dglcn_c + h_c + nadph_c <=> glcn_c + nadp_c,-31.2290539078,-31.2290539078,-4.2,-4.2
ru5p__D_c <=> ara5p_c,-2.64364468586,-2.64364468586,1.4,1.4
4abut_c + akg_c --> glu__L_c + sucsal_c,4.88955376964,4.88955376964,-1.1,-1.1
4abutn_c + h2o_c + nad_c --> 4abut_c + 2.0 h_c + nadh_c,-45.1877470979,-45.1877470979,-9.4,-9.4
acac_c + accoa_c --> aacoa_c + ac_c,5.74342779268,5.74342779268,-1.5,-1.5
2.0 accoa_c <=> aacoa_c + coa_c,26.1195411465,26.1195411465,7.1,7.1
acald_c + coa_c + nad_c <=> accoa_c + h_c + nadh_c,-14.5214251069,2.59341242786,-4.4,-0.3
accoa_c + anth_c --> acanth_c + coa_c,-18.2318743712,-18.2318743712,-4.3,-4.3
accoa_c + atp_c + hco3_c --> adp_c + h_c + malcoa_c + pi_c,-0.367173296464,-0.367173296464,-0.9,-0.9
atp_c + coa_c + ppa_c --> adp_c + pi_c + ppcoa_c,11.0954851011,11.0954851011,-1,-1
acgal1p_p + h2o_p --> acgal_p + pi_p,-22.3382802612,-39.4531177959,-2.8,-6.9
acgam1p_p + h2o_p --> acgam_p + pi_p,-20.2448640046,-37.3597015393,-2.8,-6.9
acgam_c + atp_c --> acgam6p_c + adp_c + h_c,-12.633421106,-12.633421106,-3.8,-3.8
uacgam_c + udcpp_c --> ump_c + unaga_c,4.96412089858,4.96412089858,0,0
acgam_p + pep_c --> acgam6p_c + pyr_c,-41.7351477535,-41.7351477535,-9.1,-9.1
acglu_c + atp_c --> acg5p_c + adp_c,28.9764748924,28.9764748924,2.7,2.7
accoa_c + glu__L_c --> acglu_c + coa_c + h_c,-25.4395612137,-25.4395612137,-5.2,-5.2
2obut_c + h_c + pyr_c --> 2ahbut_c + co2_c,-23.1214250781,-23.1214250781,-10.7,-10.7
ac_c + atp_c <=> actp_c + adp_c,11.0800831855,11.0800831855,4.3,4.3
h_c + 2.0 pyr_c --> alac__S_c + co2_c,-33.4777419646,-33.4777419646,-10.7,-10.7
acmum6p_c + h2o_c --> acgam6p_c + lac__D_c,-8.22110122783,-25.3359387625,-3.3,-7.4
acmana_p + pep_c --> acmanap_c + pyr_c,-43.283074767,-43.283074767,-9.1,-9.1
acmum_p + pep_c --> acmum6p_c + pyr_c,-42.5903214498,-42.5903214498,-9.1,-9.1
acnam_c --> acmana_c + pyr_c,7.8848980152,-9.22993951952,1,-3.1
btcoa_c + fad_c <=> b2coa_c + fadh2_c,36.3193143413,36.3193143413,12.7,12.7
fad_c + hxcoa_c <=> fadh2_c + hx2coa_c,41.5166350877,41.5166350877,12.7,12.7
fad_c + occoa_c <=> fadh2_c + oc2coa_c,42.6403397276,42.6403397276,12.7,12.7
dcacoa_c + fad_c <=> dc2coa_c + fadh2_c,42.6403397276,42.6403397276,12.7,12.7
ddcacoa_c + fad_c <=> dd2coa_c + fadh2_c,42.6403397276,42.6403397276,12.7,12.7
fad_c + tdcoa_c <=> fadh2_c + td2coa_c,42.6403397276,42.6403397276,12.7,12.7
fad_c + pmtcoa_c <=> fadh2_c + hdd2coa_c,44.7850029001,44.7850029001,12.7,12.7
fad_c + stcoa_c <=> fadh2_c + od2coa_c,42.6403397276,42.6403397276,12.7,12.7
acorn_c + h2o_c --> ac_c + orn_c,2.06781940964,-15.0470181251,-1.9,-6
acon_T_c <=> acon_C_c,3.61780189591,3.61780189591,0,0
cit_c <=> acon_C_c + h2o_c,8.29790723906,8.29790723906,1.5,1.5
acon_C_c + h2o_c <=> icit_c,-0.666937290552,-0.666937290552,-0.2,-0.2
acorn_c + akg_c <=> acg5sa_c + glu__L_c,-12.8523188632,-12.8523188632,-1.1,-1.1
ac_c + atp_c + coa_c --> accoa_c + amp_c + ppi_c,-4.61999479405,-4.61999479405,-0.9,-0.9
4adcho_c --> 4abz_c + h_c + pyr_c,-60.2013146205,-77.3161521552,-35.4,-39.5
chor_c + gln__L_c --> 4adcho_c + glu__L_c,-17.427338837,-17.427338837,-7.5,-7.5
amp_c + atp_c <=> 2.0 adp_c,-5.17933079749,-5.17933079749,-0.1,-0.1
amp_c + gtp_c <=> adp_c + gdp_c,-2.67197428385,-2.67197428385,-0.3,-0.3
amp_c + itp_c <=> adp_c + idp_c,-8.89936793717,-8.89936793717,-0.1,-0.1
amet_c + h_c --> ametam_c + co2_c,-21.0868508212,-38.201688356,-3.3,-7.4
atp_c --> camp_c + ppi_c,5.8884976518,-11.2263398829,0.5,-3.6
adn_c + atp_c --> adp_c + amp_c + h_c,-13.2935890867,-13.2935890867,-3.8,-3.8
adn_c + h2o_c --> ade_c + rib__D_c,-4.86745670555,-21.9822942403,-0.8,-4.9
adocbl_p + atp_c + h2o_c --> adocbl_c + adp_c + h_c + pi_c,-28.0979169853,-45.21275452,0.1,-4
adprib_c + h2o_c --> amp_c + 2.0 h_c + r5p_c,-20.7498580893,-37.8646956241,-8.4,-12.5
ade_c + prpp_c --> amp_c + ppi_c,-21.6035605237,-21.6035605237,-3.3,-3.3
aps_c + atp_c --> adp_c + h_c + paps_c,-9.77143448146,-9.77143448146,-3.8,-3.8
dcamp_c <=> amp_c + fum_c,5.32533616365,-11.7895013711,7.7,3.6
25aics_c <=> aicar_c + fum_c,5.2503242793,-11.8645132554,7.7,3.6
asp__L_c + gtp_c + imp_c --> dcamp_c + gdp_c + 2.0 h_c + pi_c,17.0255789968,17.0255789968,-3.1,-3.1
acgam6p_c + h2o_c --> ac_c + gam6p_c,-7.6951937246,-24.8100312593,-1.9,-6
