reaction formula,dG0_prime,dGm_prime,deltaGpH72,mMdeltaGpH72
23cump_p + h2o_p --> 3ump_p + h_p,-34.318096325,-34.318096325,-6.9,-6.9
23ccmp_p + h2o_p --> 3cmp_p + h_p,-33.988685662,-33.988685662,-6.9,-6.9
23camp_p + h2o_p --> 3amp_p + h_p,-33.995769653,-33.995769653,-6.9,-6.9
23cgmp_p + h2o_p --> 3gmp_p + h_p,-33.9699679445,-33.9699679445,-6.9,-6.9
2dhglcn_c + h_c + nadh_c --> glcn_c + nad_c,-18.2558564415,-18.2558564415,-6.4,-6.4
2dhglcn_c + h_c + nadph_c --> glcn_c + nadp_c,-19.2353351843,-19.2353351843,-6.7,-6.7
2mahmp_c + h2o_c --> 4ampm_c + h_c + pi_c,-22.3423239496,-39.4571614843,-6.5,-10.6
3hcinnm_c + h_c + nadh_c + o2_c --> dhcinnm_c + h2o_c + nad_c,-441.32927262,-417.028272445,-96,-90.2
3hpppn_c + h_c + nadh_c + o2_c --> dhpppn_c + h2o_c + nad_c,-441.333439761,-417.032439586,-96,-90.2
3dhguln_c + atp_c --> 3dhgulnp_c + adp_c + h_c,-14.6741461777,-14.6741461777,-3.8,-3.8
3ump_p + h2o_p --> pi_p + uri_p,-13.3831326394,-30.4979701741,-2.8,-6.9
3cmp_p + h2o_p --> cytd_p + pi_p,-21.2715725298,-38.3864100645,-2.8,-6.9
3amp_p + h2o_p --> adn_p + pi_p,-15.5130531124,-32.6278906471,-2.8,-6.9
3gmp_p + h2o_p --> gsn_p + pi_p,-11.8458716577,-28.9607091924,-2.8,-6.9
h2o_c + phthr_c --> 4hthr_c + pi_c,-13.9780960803,-31.0929336151,-2.8,-6.9
5dglcn_c + h_c + nadph_c <=> glcn_c + nadp_c,-26.3434013872,-26.3434013872,-4.2,-4.2
ru5p__D_c <=> ara5p_c,-2.62779116754,-2.62779116754,1.4,1.4
4abut_c + akg_c --> glu__L_c + sucsal_c,6.10462891664,6.10462891664,-1.1,-1.1
4abutn_c + h2o_c + nad_c --> 4abut_c + 2.0 h_c + nadh_c,-47.6310163392,-47.6310163392,-9.4,-9.4
acac_c + accoa_c --> aacoa_c + ac_c,5.72590061924,5.72590061924,-1.5,-1.5
2.0 accoa_c <=> aacoa_c + coa_c,26.1380387733,26.1380387733,7.1,7.1
acald_c + coa_c + nad_c <=> accoa_c + h_c + nadh_c,-17.002098523,0.112739011694,-4.4,-0.3
accoa_c + anth_c --> acanth_c + coa_c,-18.1628463899,-18.1628463899,-4.3,-4.3
accoa_c + atp_c + hco3_c --> adp_c + h_c + malcoa_c + pi_c,-3.67650559504,-3.67650559504,-0.9,-0.9
